IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
87567;Passerelle;819000;1;045+175;e647adc0-6667-11e3-a7ff-01f464e0362d;792220.9067000002;6271554.632399999;4.140573057483806;43.53706983053373;43.5370698305,4.14057305748;43.5370698305,4.14057305748;"{""type"": ""Point"", ""coordinates"": [4.140573057483806, 43.537069830510305]}"
67259;;930000;1;202+470;e687faac-6667-11e3-a7ff-01f464e0362d;1032230.0161999986;6283396.139400002;7.113164175702375;43.57173351355163;43.5717335136,7.1131641757;43.5717335135,7.1131641757;"{""type"": ""Point"", ""coordinates"": [7.113164175702374, 43.57173351352829]}"
47860;Passerelle piétons;890000;1;134+294;e66f057a-6667-11e3-a7ff-01f464e0362d;918088.567400001;6560617.797400001;5.824197518941367;46.110250798049094;46.110250798,5.82419751894;46.110250798,5.82419751894;"{""type"": ""Point"", ""coordinates"": [5.824197518941367, 46.11025079803265]}"
10086052;Passerelle de Cavaillon;925000;1;032+887;25e51c0c-b817-11e9-bdff-01686fb51c27;864400.4365999997;6306081.140000001;5.04401941212306;43.83459018670345;43.8345901867,5.04401941212;43.8345901867,5.04401941212;"{""type"": ""Point"", ""coordinates"": [5.04401941212306, 43.83459018668078]}"
56033;Passerelle piétons;972000;1;014+340;e8fac30c-6667-11e3-a7ff-01f464e0362d;642892.1154000014;6860609.793499999;2.221875452169937;48.843003279478225;48.8430032795,2.22187545217;48.8430032795,2.22187545217;"{""type"": ""Point"", ""coordinates"": [2.221875452169936, 48.84300327945609]}"
43401;;800000;1;577+714;e579ba42-6667-11e3-a7ff-01f464e0362d;841070.3596000001;6464720.596900001;4.79898749466776;45.26737124065471;45.2673712407,4.79898749467;45.2673712406,4.79898749467;"{""type"": ""Point"", ""coordinates"": [4.79898749466776, 45.26737124063585]}"
40575;Aqueduc de la Vanne;750000;1;068+541;e878faa2-6667-11e3-a7ff-01f464e0362d;685926.9143999964;6807303.373799998;2.809988925012224;48.36588366875006;48.3658836688,2.80998892501;48.3658836687,2.80998892501;"{""type"": ""Point"", ""coordinates"": [2.809988925012223, 48.365883668725445]}"
163845;;325000;1;066+757;279d751c-9803-11e4-a3ff-01a064e0362d;635759.4861000031;6916783.3466;2.116130156618064;49.34736621410171;49.3473662141,2.11613015662;49.3473662141,2.11613015662;"{""type"": ""Point"", ""coordinates"": [2.116130156618063, 49.347366214082086]}"
57741;Passerelle piétons;390000;1;211+691;e6a529d4-6667-11e3-a7ff-01f464e0362d;492842.74920000136;6916068.9265;0.15124535034812;49.310581866044764;49.310581866,0.151245350348;49.310581866,0.151245350348;"{""type"": ""Point"", ""coordinates"": [0.151245350348118, 49.310581866024954]}"
59421;;062000;1;033+902;e62355b8-6667-11e3-a7ff-01f464e0362d;988017.378899999;6795754.067499999;6.877956692212987;48.198475868478845;48.1984758685,6.87795669221;48.1984758685,6.87795669221;"{""type"": ""Point"", ""coordinates"": [6.877956692212988, 48.19847586845336]}"
33025;OA Ciments franèais;250000;1;221+357;e6038a36-6667-11e3-a7ff-01f464e0362d;724274.2009000033;7021557.634300001;3.340205968284623;50.29141608521724;50.2914160852,3.34020596828;50.2914160852,3.34020596828;"{""type"": ""Point"", ""coordinates"": [3.340205968284622, 50.29141608520204]}"
41890;;750000;1;514+530;e94fad32-6667-11e3-a7ff-01f464e0362d;819287.6123000011;6487762.014400002;4.526961583871899;45.47893236135217;45.4789323614,4.52696158387;45.4789323613,4.52696158387;"{""type"": ""Point"", ""coordinates"": [4.526961583871898, 45.478932361333904]}"
53951;Passerelle publique;070000;1;036+195;e70005ec-6667-11e3-a7ff-01f464e0362d;686169.7735999972;6867051.885899998;2.811340524639644;48.90331941080242;48.9033194108,2.81134052464;48.9033194108,2.81134052464;"{""type"": ""Point"", ""coordinates"": [2.811340524639643, 48.903319410780576]}"
59689;;070000;1;367+411;e98f382e-6667-11e3-a7ff-01f464e0362d;945934.1620000005;6841616.309599999;6.338151406962353;48.62794087365607;48.6279408737,6.33815140696;48.6279408736,6.33815140696;"{""type"": ""Point"", ""coordinates"": [6.338151406962353, 48.627940873632824]}"
